auctions,repetition,bidders,true_reserve,method,reserve_estimate,reserve_error,absolute_reserve_error,revenue_regret,max_bid_w1,latent_value_w1,validation_max_bid_w1,fold_reserve_sd,pooled_reserve,training_auctions,regularized_target,regularized_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,score_at_estimate,score_jacobian,score_roots_on_grid,fold_average_reference,orthogonal_correction,nuisance_cdf_error_at_target,nuisance_density_error_at_target,maxima_below_exact_reserve,maxima_below_regularized_target
500,8,5,0.7718567076821209,Empirical-local DML,0.7896545838652199,0.017797876183099026,,1.3785360656770607e-05,,,,,,,0.831833385726398,-0.04217880186117806,0.02508775659807378,0.7404825809329953,0.8388265867974445,1.0,1.0,-4.09222521221686e-06,-1.648492910143019,1.0,,,-0.0029307991992955796,-0.004746322039450898,0.0,1.0
500,9,5,0.7718567076821209,Empirical-local DML,0.7516831807137675,-0.020173526968353395,,1.3497532981965321e-05,,,,,,,0.831833385726398,-0.08015020501263048,0.017204508282485233,0.7179623444800964,0.7854040169474386,0.0,1.0,-1.1177961582646389e-05,-1.5578816431376281,1.0,,,0.0037052023284229116,0.04766264413056302,0.0,1.0
500,10,5,0.7718567076821209,Empirical-local DML,0.7993625193841389,0.027505811702018046,,3.518864503337937e-05,,,,,,,0.831833385726398,-0.03247086634225904,0.027353693366221152,0.7457492803863455,0.8529757583819324,1.0,1.0,-5.350705761014041e-06,-1.5574203049176074,1.0,,,-0.001203772398371621,0.0038511195427276823,1.0,2.0
500,11,5,0.7718567076821209,Empirical-local DML,0.8350736701356195,0.06321696245349862,,0.00023478385469655194,,,,,,,0.831833385726398,0.0032402844092215277,0.029164002411118606,0.7779122254098271,0.8922351148614119,1.0,0.0,-1.6475763076684302e-07,-1.1743697647969291,1.0,,,-0.0013744360561968733,-0.0075651354148723315,0.0,3.0
500,12,5,0.7718567076821209,Empirical-local DML,0.8278112644429709,0.05595455676085004,,0.0001756525161269451,,,,,,,0.831833385726398,-0.004022121283427049,0.028068989918124666,0.7727960442034466,0.8828264846824952,1.0,0.0,-8.471089718743662e-06,-1.2655630242995781,1.0,,,-0.0047203060741240165,-0.024858809337829496,0.0,0.0
500,13,5,0.7718567076821209,Empirical-local DML,0.8255197082321822,0.053663000550061346,,0.00015920322094187256,,,,,,,0.831833385726398,-0.006313677494215741,0.03559605146153191,0.7557514473675797,0.8952879690967848,1.0,1.0,-4.654915559655137e-06,-1.354883537509968,1.0,,,-0.002143676886937647,-0.006773912561940737,1.0,2.0
500,14,5,0.7718567076821209,Empirical-local DML,0.8315881997728857,0.05973149209076478,,0.00020504056055092867,,,,,,,0.831833385726398,-0.00024518595351230577,0.0377644610563547,0.7575698561024304,0.9056065434433409,1.0,1.0,-9.509048046773217e-06,-1.1592435518501851,1.0,,,-0.0017417265560576989,-0.011264766879642563,1.0,2.0
500,15,5,0.7718567076821209,Empirical-local DML,0.7735002871483954,0.0016435794662744696,,1.0494940849703482e-07,,,,,,,0.831833385726398,-0.05833309857800262,0.01955952213177505,0.7351636237701162,0.8118369505266745,0.0,1.0,-1.2470160067081793e-05,-1.5513247453003192,1.0,,,-0.0022102854289545743,0.0026991643792347864,0.0,0.0
500,16,5,0.7718567076821209,Empirical-local DML,0.7922738239163593,0.020417116234238364,,1.8471996175550842e-05,,,,,,,0.831833385726398,-0.039559561810038724,0.02939414013671313,0.7346613092484016,0.849886338584317,1.0,1.0,-1.1825122446527558e-05,-1.2674485411384773,1.0,,,0.00285124650176825,0.022829623471268337,1.0,4.0
500,17,5,0.7718567076821209,Empirical-local DML,0.7985231592398936,0.026666451557772697,,3.2885774558844005e-05,,,,,,,0.831833385726398,-0.03331022648650439,0.02673146886352808,0.7461294802673786,0.8509168382124086,1.0,1.0,-7.874913907066628e-06,-1.2680816504007937,1.0,,,-0.00025966581777245486,0.005910575389989806,0.0,2.0
