dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Mixture,5,2000,79,0.7580282496557116,0.8749741936852664,1,0.8602887925150262,-0.014685401170240198,0.10226054285931463,0.018055968544305284,0.8248990941681879,0.8956784908618646,True,False,1,0.8087455106679223,0.050717261012210746,0
Mixture,5,2000,80,0.7580282496557116,0.8749741936852664,1,0.8225206193391414,-0.052453574346124965,0.06449236968342986,0.018839405803597803,0.7855953839640898,0.8594458547141931,False,False,1,0.7383377043683726,-0.019690545287338934,3
Mixture,5,2000,81,0.7580282496557116,0.8749741936852664,1,0.8637129249416114,-0.011261268743654962,0.10568467528589987,0.01848866681338271,0.8274751379873814,0.8999507118958415,True,False,1,0.7828371813067164,0.02480893165100484,0
Mixture,5,2000,82,0.7580282496557116,0.8749741936852664,1,0.857405731664462,-0.01756846202080442,0.0993774820087504,0.019310489414542886,0.8195571724119579,0.8952542909169661,True,False,1,0.8172824586390828,0.05925420898337119,1
Mixture,5,2000,83,0.7580282496557116,0.8749741936852664,1,0.8708944824163021,-0.004079711268964337,0.11286623276059049,0.020630767669149435,0.8304581777847692,0.911330787047835,True,False,1,0.7526161831379791,-0.005412066517732517,2
Mixture,5,2000,84,0.7580282496557116,0.8749741936852664,1,0.8355638024939703,-0.03941039119129608,0.07753555283825875,0.018493332993630766,0.799316869826454,0.8718107351614867,False,False,1,0.7911277589886804,0.03309950933296879,2
Mixture,5,2000,85,0.7580282496557116,0.8749741936852664,1,0.9079449382854098,0.032970744600143376,0.1499166886296982,0.021994189482439176,0.864836326899829,0.9510535496709905,True,False,1,0.8239713549019896,0.065943105246278,2
Mixture,5,2000,86,0.7580282496557116,0.8749741936852664,1,0.858852454317418,-0.016121739367848442,0.10082420466170638,0.016622440817783316,0.8262724703145626,0.8914324383202733,True,False,1,0.8440317139747802,0.08600346431906858,0
Mixture,5,2000,87,0.7580282496557116,0.8749741936852664,1,0.920022267698581,0.045048074013314565,0.1619940180428694,0.023840856617481823,0.8732941887283165,0.9667503466688454,True,False,1,0.7870667824216278,0.02903853276591617,2
Mixture,5,2000,88,0.7580282496557116,0.8749741936852664,1,0.8638583351160583,-0.011115858569208159,0.10583008546034667,0.020726879816277587,0.8232336506761542,0.9044830195559623,True,False,1,0.838440797382998,0.08041254772728645,2
Mixture,5,2000,89,0.7580282496557116,0.8749741936852664,1,0.8509238125005053,-0.024050381184761105,0.09289556284479372,0.018821404500718165,0.8140338596790977,0.8878137653219129,True,False,1,0.8127423447694964,0.05471409511378478,0
Mixture,5,2000,90,0.7580282496557116,0.8749741936852664,1,0.8816691780678545,0.006694984382588087,0.12364092841214291,0.02504217836229954,0.8325865084777474,0.9307518476579616,True,False,1,0.791266406303705,0.033238156647993455,2
Mixture,5,2000,91,0.7580282496557116,0.8749741936852664,1,0.845284785206579,-0.029689408478687396,0.08725653555086743,0.017900935684945374,0.810198951264086,0.880370619149072,True,False,1,0.8547190069597576,0.09669075730404597,1
Mixture,5,2000,92,0.7580282496557116,0.8749741936852664,1,0.8680337424938672,-0.006940451191399188,0.11000549283815564,0.020881484843832763,0.827106032199955,0.9089614527877794,True,False,1,0.7959030291071437,0.03787477945143214,1
Mixture,5,2000,93,0.7580282496557116,0.8749741936852664,1,0.8750544260880131,8.023240274668275e-05,0.11702617643230151,0.025813391006461676,0.8244601797153482,0.925648672460678,True,False,1,0.8671322275460738,0.10910397789036219,4
Mixture,5,2000,94,0.7580282496557116,0.8749741936852664,1,0.8451260465774533,-0.02984814710781314,0.08709779692174169,0.020637073328357222,0.8046773828538731,0.8855747103010334,True,False,1,0.8076635536928528,0.049635304037141226,2
Mixture,5,2000,95,0.7580282496557116,0.8749741936852664,1,0.870066538969409,-0.004907654715857412,0.11203828931369741,0.0192914838420042,0.8322552306390808,0.9078778472997372,True,False,1,0.7960671688937123,0.038038919238000735,1
Mixture,5,2000,96,0.7580282496557116,0.8749741936852664,1,0.8831184504929472,0.008144256807680827,0.12509020083723565,0.026987810355253126,0.8302223421966511,0.9360145587892433,True,False,1,0.7843608812061974,0.02633263155048582,2
Mixture,5,2000,97,0.7580282496557116,0.8749741936852664,1,0.8337328740281051,-0.04124131965716127,0.07570462437239356,0.01693233840479905,0.800545490754699,0.8669202573015112,False,False,1,0.8075813197214842,0.049553070065772586,1
Mixture,5,2000,98,0.7580282496557116,0.8749741936852664,1,0.8737091596711757,-0.0012650340140907268,0.1156809100154641,0.02141449498475593,0.831736749501054,0.9156815698412973,True,False,1,0.8211251114918969,0.06309686183618535,1
Mixture,5,2000,99,0.7580282496557116,0.8749741936852664,1,0.8602187740883153,-0.014755419596951147,0.10219052443260368,0.020126935954530564,0.8207699796174354,0.8996675685591952,True,False,1,0.76062931964159,0.0026010699858783903,0
Mixture,5,2000,100,0.7580282496557116,0.8749741936852664,1,0.8538613348349273,-0.02111285885033909,0.09583308517921574,0.019563471118981803,0.815516931441723,0.8922057382281317,True,False,1,0.8442328599113292,0.08620461025561765,2
